Average Returns,Iteration
-1086.2625732421875,0
-1265.6064453125,5
-1266.2818603515625,10
-654.6015014648438,15
-287.29058837890625,20
-108.48724365234375,25
-87.2724380493164,30
-82.29335021972656,35
-76.7671890258789,40
-74.87023162841797,45
-73.27197265625,50
-71.59447479248047,55
-71.54644012451172,60
-71.29512786865234,65
-70.92322540283203,70
-70.74567413330078,75
-71.06910705566406,80
-71.01268768310547,85
-70.65280151367188,90
-71.0914306640625,95
-70.9664077758789,100
-70.93208312988281,105
-70.94550323486328,110
-70.92386627197266,115
-70.8992691040039,120
-70.88611602783203,125
-70.47010040283203,130
-70.86627960205078,135
-70.88994598388672,140
-70.8628158569336,145
