Average Returns,Iteration
-1086.2625732421875,0
-1086.2625732421875,5
-1086.2625732421875,10
-1086.2625732421875,15
-1086.2625732421875,20
-1086.2625732421875,25
-1086.2625732421875,30
-1103.4620361328125,35
-809.3130493164062,40
-680.3684692382812,45
-719.3312377929688,50
-716.4624633789062,55
-602.161376953125,60
-602.161376953125,65
-570.7549438476562,70
-570.7549438476562,75
-559.3939819335938,80
-377.970458984375,85
-367.5836181640625,90
-367.5836181640625,95
-367.5836181640625,100
-425.6264343261719,105
-425.6264343261719,110
-425.6264343261719,115
-425.6264343261719,120
-425.6264343261719,125
-425.6264343261719,130
-441.0121765136719,135
-441.0121765136719,140
-441.0121765136719,145
