Average Returns,Iteration
-1086.2625732421875,0
-1074.3865966796875,5
-1108.3885498046875,10
-1194.7117919921875,15
-1210.2864990234375,20
-1210.2864990234375,25
-439.2337341308594,30
-272.38214111328125,35
-275.7249755859375,40
-273.76495361328125,45
-269.75738525390625,50
-253.88551330566406,55
-233.76580810546875,60
-203.03372192382812,65
-187.3236083984375,70
-181.8560028076172,75
-172.03138732910156,80
-172.03138732910156,85
-166.24839782714844,90
-157.64881896972656,95
-157.64881896972656,100
-151.69505310058594,105
-151.69505310058594,110
-151.69505310058594,115
-151.69505310058594,120
-148.64476013183594,125
-149.03884887695312,130
-157.87362670898438,135
-157.87362670898438,140
-151.9330596923828,145
