Average Returns,Iteration
-1457.113977499363,0
-595.6744226698293,5
-522.8111868562515,10
-655.9917896999897,15
-747.6041513774786,20
-839.318774637332,25
-966.0288994480379,30
-1115.700887766373,35
-1066.3112362353465,40
-1107.8799115138643,45
-1093.8278428115868,50
-1094.6895802579202,55
-1189.3676276643569,60
-1149.9638297653496,65
-1129.0935269204865,70
-1183.7279613743779,75
-1167.5829462621957,80
-1192.0547064490327,85
-1190.5935151053804,90
-1216.1818704501902,95
-1183.227071610027,100
-1161.3327285764208,105
-1203.8249703564952,110
-1168.582454824607,115
-1218.476124755138,120
-1184.98391872937,125
-1198.0898177810018,130
-1177.2368994500757,135
-1201.3819194516666,140
-1180.4758962796723,145
