Iteration,Average Returns
0,-1056.47802734375
5,-569.3806762695312
10,-347.0924987792969
15,-149.5565643310547
20,-173.52598571777344
25,-167.02381896972656
30,-181.5563507080078
35,-152.17486572265625
40,-152.7635955810547
45,-140.51483154296875
50,-169.5213165283203
55,-143.73831176757812
60,-197.108642578125
65,-170.70997619628906
70,-213.8782501220703
75,-178.88121032714844
80,-160.20925903320312
85,-151.8135986328125
90,-172.679931640625
95,-202.3153076171875
100,-171.87356567382812
105,-221.45944213867188
110,-125.3167724609375
115,-158.3033447265625
120,-215.75802612304688
125,-139.0370635986328
130,-131.05787658691406
135,-213.14585876464844
140,-215.83836364746094
145,-245.85137939453125
