Iteration,Average Returns
0,-1151.3006911122761
5,-1686.9443783930824
10,-1233.4885948816366
15,-951.5222029728012
20,-756.9760834513171
25,-891.3595077046424
30,-1874.1806688095696
35,-1006.6832924413694
40,-1149.137279638119
45,-989.6016388340117
50,-1223.0733316557591
55,-930.5482496577824
60,-1061.909685360052
65,-1160.642181865624
70,-1611.2665557136734
75,-1098.106900367991
80,-1106.1982789509168
85,-1111.0024252690391
90,-1294.5905847859276
95,-1220.9741732613459
100,-1047.9934945966304
105,-956.7119289578218
110,-1435.811338023114
115,-1050.5398480327633
120,-2139.687732806851
125,-1124.0624337675322
130,-1063.960345644546
135,-1144.6304308711763
140,-1271.7733691922326
145,-1138.8371522116336
