Iteration,Average Returns
0,-1122.7823725767166
5,-1062.223100979545
10,-1136.400997769638
15,-1093.1759279603343
20,-1071.1226507496983
25,-1155.1049075078602
30,-1271.381536753725
35,-695.3041232962898
40,-406.456194094436
45,-296.96155211033016
50,-197.0863917510676
55,-162.00135832879465
60,-102.03204010566667
65,-84.10820292428488
70,-97.57816568818116
75,-79.77324157261839
80,-77.1268560435932
85,-73.90398344328139
90,-77.90622069521908
95,-79.04001694684392
100,-78.86360560818231
105,-79.47055096671988
110,-84.58022172370933
115,-80.60229436793693
120,-83.14256889636343
125,-82.3509513186258
130,-85.43739284357402
135,-87.97332474330491
140,-91.83967670738717
145,-86.81401609323183
150,-89.99877695556764
155,-88.0780028345116
160,-90.33444397721331
165,-88.87017371912569
170,-93.47232453280681
175,-93.44475523799015
180,-97.89907396028848
185,-88.43983615629136
190,-92.89440013973258
195,-92.25485637742487
200,-89.47411813078283
205,-90.79637574716567
210,-86.15773392674335
215,-88.75005204918197
220,-91.15514798286452
225,-84.56636947767966
230,-89.0393440116132
235,-86.83368891296261
240,-88.94630111042856
245,-93.82463341825353
249,-91.60425961557442
